genres,avaliacoes_positivas_percentual,concorrentes
Adventure;Casual;Indie;RPG,73.79135035,143
Casual;Indie;RPG;Simulation,73.77605000,36
Adventure;Casual;RPG;Simulation,73.74018000,5
"Action;Casual;Indie;Strategy;Early Access",73.73752143,14
Casual;Indie,73.65691521,1440
Adventure;Casual;Indie,73.60870217,782
"Action;Adventure;Indie;Strategy;Early Access",73.56973077,13
Action;Indie;Casual,73.54895000,4
"Indie;Racing;Sports;Early Access",73.54172500,4
Casual;Indie;Racing;RPG;Simulation;Sports,73.46940000,1
Action;Simulation;Sports,73.43567778,9
"Free to Play;Indie;Simulation;Early Access",73.40430000,1
Action;Racing;Sports,73.38410000,6
Casual;Simulation;Strategy,73.36792273,44
Casual;Indie;Strategy,73.35480276,435
"Action;Adventure;Casual;Indie;Racing;Sports;Early Access",73.33330000,1
Adventure;Casual;Strategy,73.33057727,22
Action;Adventure;Indie;Racing;Simulation;Sports,73.32680000,2
Adventure;Strategy,73.31922857,21
RPG;Strategy,73.26026322,87
"RPG;Early Access",73.25089167,12
"Animation & Modeling;Design & Illustration;Education;Software Training;Utilities;Game Development",73.24963333,3
"Violent;Gore;Action;Adventure;Casual;Indie;RPG;Early Access",73.21430000,1
Violent;Adventure;Indie;Strategy,73.07690000,1
Violent;Adventure;Casual;Indie,73.05406000,5
"Casual;Indie;Racing;Simulation;Sports;Early Access",73.03330000,3
Casual;Indie;RPG;Simulation;Strategy,73.01408182,22
"Indie;Massively Multiplayer;RPG",73.01358000,5
"Indie;Simulation;Strategy;Early Access",73.00250500,80
Action;Casual;Simulation;Strategy,72.97862500,12
Casual;Indie;RPG,72.95867797,59
"Sexual Content;Violent;Adventure;Indie;Simulation",72.95320000,2
"Action;Indie;Racing;Early Access",72.94814444,18
"Adventure;Indie;Simulation;Strategy;Early Access",72.90673333,6
Violent;Gore;Action;Casual;Indie,72.86802857,7
Action;Casual;Indie;Sports;Strategy,72.84087500,4
"Violent;Gore;Action;Indie;Early Access",72.81332222,9
Gore;Action;Adventure;Casual;Indie,72.72730000,1
"Action;Adventure;Casual;Free to Play;Indie;RPG;Simulation;Sports;Strategy",72.72730000,1
Action;Indie;Racing;Simulation,72.72165000,10
Nudity;Violent;Action;RPG;Strategy,72.68040000,1
Casual;Indie;RPG;Strategy,72.64011304,23
"Violent;Action;Simulation;Early Access",72.54900000,1
"Sexual Content;Casual;Indie",72.54357500,8
"Casual;Indie;Simulation;Strategy;Early Access",72.43676364,22
"Sexual Content;Indie;RPG",72.41380000,1
"Indie;Massively Multiplayer;Racing;Simulation",72.41380000,1
Casual;Strategy,72.40561146,96
Action;Adventure;Indie;RPG,72.33295926,324
"Action;Adventure;Casual;Indie;RPG;Simulation;Strategy;Early Access",72.33005000,4
Violent;Adventure;Indie,72.30948571,14
"Adventure;Indie;Massively Multiplayer;RPG;Strategy",72.29273333,3
"Violent;Indie;Early Access",72.22220000,2
"Casual;Early Access",72.15179412,17
Violent;Gore;Action;Adventure;Indie;Strategy,72.12120000,2
Adventure;Indie;Strategy,72.11444079,76
Adventure;Casual;Simulation,72.07160238,42
"Action;Casual;Indie;Simulation;Strategy;Early Access",72.06163333,9
Action;Adventure;Casual;Indie;RPG;Strategy,72.00786000,30
Indie;Casual,71.97860455,22
"Casual;Indie;Simulation;Early Access",71.87465179,56
Action;Adventure;RPG,71.85788621,87
"Indie;Strategy;Early Access",71.83396140,57
Action;Casual,71.68786075,107
Action;RPG;Strategy,71.52399000,10
Action;Adventure;Casual;Indie;Racing;Simulation,71.51984167,12
"Animation & Modeling;Early Access",71.42860000,1
"Adventure;Casual;RPG;Early Access",71.42860000,1
"Action;Indie;Massively Multiplayer;RPG;Simulation;Early Access",71.42860000,1
Action;Racing;Strategy,71.42860000,1
Violent;Action;Adventure;Indie;RPG;Simulation,71.42860000,1
"Sexual Content;Nudity;Violent;Gore;Action;Casual",71.42860000,1
Indie;RPG;Sports;Strategy,71.42860000,1
"Sexual Content;Adventure;Indie;Simulation",71.42860000,1
"Action;Adventure;RPG;Strategy;Early Access",71.42855000,2
Indie;Strategy,71.37862975,353
"Adventure;Casual;Strategy;Early Access",71.33760000,1
"Action;Adventure;Casual;Indie;Early Access",71.32796604,53
Action;Adventure;Indie,71.27389374,1199
"Sexual Content;Nudity;Gore;Casual;Indie",71.25000000,1
"Sexual Content;Nudity;Adventure;RPG",71.24760000,2
"Sexual Content;Violent;Gore;Casual",71.21210000,1
"Adventure;Casual;Indie;Simulation;Early Access",71.16151818,11
Action;Casual;Indie;Strategy,71.04769576,118
"Adventure;Casual;Indie;RPG;Simulation;Early Access",71.03345000,10
Action;Adventure,70.98272175,354
